YearStart,YearEnd,LocationAbbr,LocationDesc,Question,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2016,2020,KS,Kansas,"Breast cancer mortality among all females, underlying cause",14.6,11.2,18.6,Race/Ethnicity,Hispanic
2016,2020,MS,Mississippi,"Breast cancer mortality among all females, underlying cause",20.0,18.8,21.1,Race/Ethnicity,"White, non-Hispanic"
2015,2019,ID,Idaho,"Invasive cancer (all sites combined) mortality among all people, underlying cause",123.1,100.5,149.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
2015,2019,WY,Wyoming,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",12.2,11.0,13.5,Race/Ethnicity,"White, non-Hispanic"
2016,2020,NJ,New Jersey,"Invasive cancer (all sites combined) mortality among all people, underlying cause",73.2,70.6,75.9,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic"
2015,2019,NY,New York,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",14.9,14.3,15.5,Race/Ethnicity,"Black, non-Hispanic"
2016,2020,CT,Connecticut,"Invasive cancer (all sites combined) mortality among all people, underlying cause",139.9,138.2,141.6,Race/Ethnicity,"White, non-Hispanic"
2016,2020,LA,Louisiana,"Lung and bronchial cancer mortality among all people, underlying cause",46.1,44.5,47.7,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,IL,Illinois,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",14.1,13.8,14.5,Race/Ethnicity,"White, non-Hispanic"
2015,2019,WI,Wisconsin,"Prostate cancer mortality among all males, underlying cause",20.6,19.9,21.4,Race/Ethnicity,"White, non-Hispanic"
2015,2019,FL,Florida,"Invasive cancer (all sites combined) mortality among all people, underlying cause",158.3,156.2,160.4,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,NY,New York,"Invasive cancer (all sites combined), incidence",400.4,397.2,403.5,Race/Ethnicity,Hispanic
2015,2019,OK,Oklahoma,"Breast cancer mortality among all females, underlying cause",12.9,9.5,16.9,Race/Ethnicity,Hispanic
2015,2019,MN,Minnesota,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",13.2,10.7,16.1,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,MS,Mississippi,"Invasive cancer (all sites combined) mortality among all people, underlying cause",57.9,48.0,69.0,Race/Ethnicity,Hispanic
2016,2020,AK,Alaska,"Breast cancer mortality among all females, underlying cause",11.6,6.7,18.6,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic"
2015,2019,CA,California,"Invasive cancer (all sites combined), incidence",450.8,449.5,452.1,Race/Ethnicity,"White, non-Hispanic"
2015,2019,TX,Texas,"Invasive cancer (all sites combined), incidence",371.3,355.2,388.0,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
2015,2019,HI,Hawaii,"Breast cancer mortality among all females, underlying cause",15.0,13.7,16.4,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic"
2015,2019,DE,Delaware,"Invasive cancer (all sites combined) mortality among all people, underlying cause",164.7,161.1,168.5,Race/Ethnicity,"White, non-Hispanic"
2015,2019,ID,Idaho,"Lung and bronchial cancer mortality among all people, underlying cause",26.4,17.0,38.6,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic"
2016,2020,HI,Hawaii,"Breast cancer mortality among all females, underlying cause",21.1,18.1,24.5,Race/Ethnicity,"White, non-Hispanic"
2015,2019,AR,Arkansas,"Invasive cancer (all sites combined), incidence",497.1,458.5,538.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
2016,2020,NJ,New Jersey,"Invasive cancer (all sites combined) mortality among all people, underlying cause",168.7,165.4,172.1,Race/Ethnicity,"Black, non-Hispanic"
2016,2020,NV,Nevada,"Invasive cancer (all sites combined) mortality among all people, underlying cause",104.2,99.3,109.3,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic"
2015,2019,NC,North Carolina,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",12.5,12.1,12.8,Race/Ethnicity,"White, non-Hispanic"
2016,2020,AR,Arkansas,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",22.4,20.3,24.5,Race/Ethnicity,"Black, non-Hispanic"
2016,2020,MN,Minnesota,"Lung and bronchial cancer mortality among all people, underlying cause",11.1,8.3,14.6,Race/Ethnicity,Hispanic
2016,2020,MI,Michigan,"Invasive cancer (all sites combined) mortality among all people, underlying cause",74.3,69.5,79.3,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic"
2015,2019,KY,Kentucky,"Breast cancer mortality among all females, underlying cause",25.7,22.5,29.3,Race/Ethnicity,"Black, non-Hispanic"
2016,2020,MI,Michigan,"Breast cancer mortality among all females, underlying cause",28.4,26.7,30.1,Race/Ethnicity,"Black, non-Hispanic"
2016,2020,NJ,New Jersey,"Cervical cancer mortality among all females, underlying cause",3.3,2.7,3.9,Race/Ethnicity,"Black, non-Hispanic"
2016,2020,DC,District of Columbia,"Invasive cancer (all sites combined) mortality among all people, underlying cause",194.5,188.2,201.0,Race/Ethnicity,"Black, non-Hispanic"
2015,2019,IL,Illinois,"Prostate cancer mortality among all males, underlying cause",17.7,17.1,18.2,Race/Ethnicity,"White, non-Hispanic"
2015,2019,ME,Maine,"Invasive cancer (all sites combined) mortality among all people, underlying cause",147.1,113.1,187.0,Race/Ethnicity,"Black, non-Hispanic"
2016,2020,HI,Hawaii,"Breast cancer mortality among all females, underlying cause",14.5,13.2,15.9,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic"
2015,2019,IL,Illinois,"Invasive cancer (all sites combined) mortality among all people, underlying cause",83.1,80.0,86.3,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic"
2016,2020,AK,Alaska,"Invasive cancer (all sites combined) mortality among all people, underlying cause",207.6,193.6,222.3,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic"
2016,2020,MI,Michigan,"Prostate cancer mortality among all males, underlying cause",15.2,11.7,19.1,Race/Ethnicity,Hispanic
2015,2019,ID,Idaho,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",13.1,12.3,13.9,Race/Ethnicity,"White, non-Hispanic"
2015,2019,OR,Oregon,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",13.0,12.5,13.5,Race/Ethnicity,"White, non-Hispanic"
2016,2020,NE,Nebraska,"Prostate cancer mortality among all males, underlying cause",49.2,36.6,64.2,Race/Ethnicity,"Black, non-Hispanic"
2016,2020,NJ,New Jersey,"Cervical cancer mortality among all females, underlying cause",1.3,0.9,1.9,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic"
