YearStart,YearEnd,LocationAbbr,LocationDesc,Question,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1
2015,2019,WI,Wisconsin,"Invasive cancer (all sites combined), incidence",444.6,441.4,447.8,Sex,Female
2016,2020,IA,Iowa,"Invasive cancer (all sites combined) mortality among all people, underlying cause",185.3,182.5,188.1,Sex,Male
2016,2020,MA,Massachusetts,"Invasive cancer (all sites combined), incidence",428.3,425.5,431.1,Sex,Female
2015,2019,AR,Arkansas,"Invasive cancer (all sites combined), incidence",548.3,543.3,553.4,Sex,Male
2015,2019,KY,Kentucky,"Invasive cancer (all sites combined) mortality among all people, underlying cause",226.6,223.9,229.4,Sex,Male
2016,2020,MO,Missouri,"Lung and bronchial cancer mortality among all people, underlying cause",37.3,36.5,38.1,Sex,Female
2016,2020,MT,Montana,"Invasive cancer (all sites combined), incidence",426.4,419.1,433.7,Sex,Female
2016,2020,ID,Idaho,"Invasive cancer (all sites combined), incidence",486.1,479.9,492.4,Sex,Male
2016,2020,AR,Arkansas,"Invasive cancer (all sites combined), incidence",526.5,521.6,531.4,Sex,Male
2015,2019,NY,New York,"Lung and bronchial cancer mortality among all people, underlying cause",38.0,37.5,38.6,Sex,Male
2016,2020,FL,Florida,"Invasive cancer (all sites combined), incidence",427.2,425.7,428.8,Sex,Female
2015,2019,PA,Pennsylvania,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",16.8,16.4,17.2,Sex,Male
2015,2019,SD,South Dakota,"Cervical cancer mortality among all females, underlying cause",1.5,1.1,2.1,Sex,Female
2015,2019,WV,West Virginia,"Invasive cancer (all sites combined), incidence",521.3,515.3,527.3,Sex,Male
2016,2020,MI,Michigan,"Invasive cancer (all sites combined), incidence",477.2,474.7,479.8,Sex,Male
2015,2019,AL,Alabama,"Invasive cancer (all sites combined), incidence",406.3,403.1,409.6,Sex,Female
2015,2019,RI,Rhode Island,"Lung and bronchial cancer mortality among all people, underlying cause",46.9,44.4,49.5,Sex,Male
2015,2019,VT,Vermont,"Invasive cancer (all sites combined), incidence",448.4,439.1,458.0,Sex,Female
2016,2020,CT,Connecticut,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",8.5,8.0,9.0,Sex,Female
2015,2019,MN,Minnesota,"Invasive cancer (all sites combined), incidence",522.3,518.6,526.0,Sex,Male
2016,2020,CT,Connecticut,"Prostate cancer mortality among all males, underlying cause",18.1,17.3,19.0,Sex,Male
2015,2019,ID,Idaho,"Lung and bronchial cancer mortality among all people, underlying cause",34.4,32.7,36.2,Sex,Male
2015,2019,WA,Washington,"Cervical cancer mortality among all females, underlying cause",1.7,1.5,1.9,Sex,Female
2015,2019,KS,Kansas,"Lung and bronchial cancer mortality among all people, underlying cause",34.3,33.1,35.5,Sex,Female
2016,2020,IA,Iowa,"Lung and bronchial cancer mortality among all people, underlying cause",31.8,30.8,32.9,Sex,Female
2016,2020,ME,Maine,"Invasive cancer (all sites combined) mortality among all people, underlying cause",140.8,137.5,144.1,Sex,Female
2015,2019,MN,Minnesota,"Cervical cancer mortality among all females, underlying cause",1.2,1.0,1.4,Sex,Female
2016,2020,DC,District of Columbia,"Invasive cancer (all sites combined) mortality among all people, underlying cause",136.3,131.1,141.7,Sex,Female
2015,2019,MA,Massachusetts,"Invasive cancer (all sites combined), incidence",444.7,441.8,447.5,Sex,Female
2016,2020,LA,Louisiana,"Invasive cancer (all sites combined), incidence",422.3,418.9,425.8,Sex,Female
2015,2019,LA,Louisiana,"Invasive cancer (all sites combined), incidence",560.1,555.9,564.4,Sex,Male
2015,2019,WI,Wisconsin,"Lung and bronchial cancer mortality among all people, underlying cause",32.0,31.2,32.8,Sex,Female
2015,2019,OR,Oregon,"Cervical cancer mortality among all females, underlying cause",1.9,1.7,2.2,Sex,Female
2015,2019,MO,Missouri,"Lung and bronchial cancer mortality among all people, underlying cause",38.7,37.9,39.6,Sex,Female
2015,2019,MD,Maryland,"Prostate cancer mortality among all males, underlying cause",20.3,19.5,21.1,Sex,Male
2015,2019,AK,Alaska,"Invasive cancer (all sites combined) mortality among all people, underlying cause",171.7,164.6,179.1,Sex,Male
2015,2019,MI,Michigan,"Invasive cancer (all sites combined) mortality among all people, underlying cause",191.8,190.1,193.4,Sex,Male
2015,2019,NJ,New Jersey,"Invasive cancer (all sites combined) mortality among all people, underlying cause",167.3,165.6,169.0,Sex,Male
2015,2019,AK,Alaska,"Cervical cancer mortality among all females, underlying cause",1.7,1.2,2.5,Sex,Female
2016,2020,MA,Massachusetts,"Lung and bronchial cancer mortality among all people, underlying cause",38.4,37.5,39.3,Sex,Male
2015,2019,ND,North Dakota,"Cervical cancer mortality among all females, underlying cause",1.4,1.0,2.1,Sex,Female
2016,2020,FL,Florida,"Lung and bronchial cancer mortality among all people, underlying cause",28.4,28.0,28.7,Sex,Female
2016,2020,CT,Connecticut,"Invasive cancer (all sites combined), incidence",422.3,418.5,426.1,Sex,Female
2015,2019,OH,Ohio,"Invasive cancer (all sites combined) mortality among all people, underlying cause",145.1,143.9,146.3,Sex,Female
2015,2019,ND,North Dakota,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",17.1,15.3,19.0,Sex,Male
2016,2020,IL,Illinois,"Breast cancer mortality among all females, underlying cause",20.5,20.1,21.0,Sex,Female
2015,2019,SD,South Dakota,"Breast cancer mortality among all females, underlying cause",18.8,17.2,20.6,Sex,Female
2015,2019,AR,Arkansas,"Invasive cancer (all sites combined) mortality among all people, underlying cause",145.1,142.7,147.5,Sex,Female
2015,2019,GA,Georgia,"Invasive cancer (all sites combined), incidence",426.3,424.0,428.7,Sex,Female
2016,2020,AK,Alaska,"Invasive cancer (all sites combined) mortality among all people, underlying cause",127.2,121.7,132.9,Sex,Female
2016,2020,AL,Alabama,"Cervical cancer mortality among all females, underlying cause",3.1,2.8,3.4,Sex,Female
2015,2019,NJ,New Jersey,"Lung and bronchial cancer mortality among all people, underlying cause",28.1,27.5,28.7,Sex,Female
2015,2019,FL,Florida,"Breast cancer mortality among all females, underlying cause",18.7,18.4,19.1,Sex,Female
2016,2020,MI,Michigan,"Lung and bronchial cancer mortality among all people, underlying cause",48.0,47.2,48.8,Sex,Male
2016,2020,GA,Georgia,"Cervical cancer mortality among all females, underlying cause",2.3,2.1,2.5,Sex,Female
